2026-04-30T14:47:24.927970 WARN empty_response doc_type=A11 start=201906300002 end=201909280002 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:28.447947 WARN empty_response doc_type=A11 start=201909280003 end=201912270003 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:32.561652 WARN empty_response doc_type=A11 start=201912270004 end=202003260004 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:36.561379 WARN empty_response doc_type=A11 start=202003260005 end=202006240005 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:39.661240 WARN empty_response doc_type=A11 start=202006240006 end=202009220006 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:40.897288 WARN empty_response doc_type=A11 start=202009220007 end=202012210007 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:42.615825 WARN empty_response doc_type=A11 start=202012210008 end=202103210008 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:47.196617 WARN empty_response doc_type=A11 start=202103210009 end=202106190009 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:48.502965 WARN empty_response doc_type=A11 start=202106190010 end=202109170010 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:49.772577 WARN empty_response doc_type=A11 start=202109170011 end=202112160011 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:50.996554 WARN empty_response doc_type=A11 start=202112160012 end=202203160012 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:52.277615 WARN empty_response doc_type=A11 start=202203160013 end=202206140013 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:56.751851 WARN empty_response doc_type=A11 start=202206140014 end=202209120014 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:01.615172 WARN empty_response doc_type=A11 start=202209120015 end=202212110015 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:04.001959 WARN empty_response doc_type=A11 start=202212110016 end=202303110016 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:05.624340 WARN empty_response doc_type=A11 start=202303110017 end=202306090017 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:06.871571 WARN empty_response doc_type=A11 start=202306090018 end=202309070018 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:08.727442 WARN empty_response doc_type=A11 start=202309070019 end=202312060019 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:12.458611 WARN empty_response doc_type=A11 start=202312060020 end=202403050020 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:13.893857 WARN empty_response doc_type=A11 start=202403050021 end=202406030021 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:15.285294 WARN empty_response doc_type=A11 start=202406030022 end=202409010022 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:17.864095 WARN empty_response doc_type=A11 start=202409010023 end=202411300023 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:19.566070 WARN empty_response doc_type=A11 start=202411300024 end=202502280024 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:24.025965 WARN empty_response doc_type=A11 start=202502280025 end=202505290025 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:29.039128 WARN empty_response doc_type=A11 start=202505290026 end=202508270026 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:30.287703 WARN empty_response doc_type=A11 start=202508270027 end=202511250027 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:48:35.043042 WARN empty_response doc_type=A11 start=202511250028 end=202512312359 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:55:58.045746 WARN empty_response doc_type=A11 start=201901010000 end=201904010000 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:01.483485 WARN empty_response doc_type=A11 start=201904010001 end=201906300001 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
